,timestep (1d),Proton_density,Electron_density
216,2012-11-13T00:03:00,42.1,19.760825
217,2012-11-14T00:03:00,6.53,1.9737034
218,2012-11-15T00:03:00,1.165,1.2639133
219,2012-11-16T00:03:00,1.945,1.5977646
220,2012-11-17T00:03:00,2.825,1.3566999
221,2012-11-18T00:03:00,5.1100001,2.9143712
222,2012-11-19T00:03:00,3.895,3.5705757
223,2012-11-20T00:03:00,2.95,2.7177479
224,2012-11-21T00:03:00,2.755,2.3383644
225,2012-11-22T00:03:00,1.895,1.3865159
226,2012-11-23T00:03:00,3.045,1.819786
227,2012-11-24T00:03:00,15.97,15.402727
228,2012-11-25T00:03:00,4.2249999,3.4733239
229,2012-11-26T00:03:00,3.1600001,2.5604474
230,2012-11-28T00:03:00,1.52,1.4720151
231,2012-11-29T00:03:00,2.7199999,1.7110892
232,2012-11-30T00:03:00,3.485,2.1917988
233,2012-12-01T00:03:00,6.99,4.121356
234,2012-12-02T00:03:00,10.125,5.4633398
235,2012-12-03T00:03:00,7.1700001,6.3957344
236,2012-12-04T00:03:00,9.3399997,4.9036926
237,2012-12-05T00:03:00,2.86,1.2514021
238,2012-12-06T00:03:00,3.61,2.5925117
239,2012-12-07T00:03:00,3.465,2.3770819
240,2012-12-08T00:03:00,7.7800002,5.0738219
241,2012-12-09T00:03:00,17.78,12.170299
242,2012-12-10T00:03:00,6.7950001,5.3311043
243,2012-12-11T00:03:00,9.8450003,6.51114
244,2012-12-13T00:03:00,9.8650002,9.4120092
245,2012-12-14T00:03:00,13.75,8.7085466
246,2012-12-15T00:03:00,8.6149998,8.3596036
247,2012-12-16T00:03:00,8.02,6.0868659
248,2012-12-17T00:03:00,7.9899998,5.8652936
249,2012-12-18T00:03:00,7.0500002,3.2519239
250,2012-12-19T00:03:00,4.2850001,2.1500705
251,2012-12-20T00:03:00,5.0799999,3.0457017
252,2012-12-21T00:03:00,1.84,1.2892139
253,2012-12-22T00:03:00,1.84,1.7028957
254,2012-12-23T00:03:00,4.14,3.11698
255,2012-12-24T00:03:00,6.8400002,4.4979172
256,2012-12-25T00:03:00,6.7750001,5.2982606
257,2012-12-26T00:03:00,8.8850002,4.180474
