,timestep (1d),Proton_density,Electron_density
263,2012-08-05T00:03:00,4.895,3.1354047
264,2012-08-05T12:03:00,5.74,3.2801785
265,2012-08-06T00:03:00,4.9100001,3.8686717
266,2012-08-06T12:03:00,6.365,5.9533165
267,2012-08-07T00:03:00,5.5050001,4.7360729
268,2012-08-07T12:03:00,5.6300001,3.6221426
269,2012-08-08T00:03:00,14.755,7.9955261
270,2012-08-14T00:03:00,3.125,2.7973065
271,2012-08-14T12:03:00,3.16,2.5230191
272,2012-08-15T00:03:00,3.205,2.4386994
273,2012-08-16T00:03:00,3.4450001,2.8189741
274,2012-08-16T12:03:00,3.725,2.7419084
275,2012-08-17T00:03:00,4.6949999,2.555402
276,2012-08-17T12:03:00,3.5550001,2.1209138
277,2012-08-18T00:03:00,5.78,3.1403606
278,2012-08-18T12:03:00,12.195,6.2640489
279,2012-08-19T00:03:00,6.28,5.9481324
280,2012-08-19T12:03:00,6.1399999,5.3927234
281,2012-08-20T00:03:00,2.855,2.4561814
282,2012-08-20T12:03:00,3.875,2.4457308
283,2012-08-21T00:03:00,2.6750001,1.1420163
284,2012-08-21T12:03:00,2.5699999,1.123619
285,2012-08-22T00:03:00,4.395,2.5607958
286,2012-08-22T12:03:00,5.6199999,4.4713579
287,2012-08-23T00:03:00,5.7250001,3.8055478
288,2012-08-23T12:03:00,4.5450001,3.2393798
289,2012-08-24T00:03:00,3.8,2.6432267
290,2012-08-24T12:03:00,13.13,11.810365
291,2012-08-25T00:03:00,5.5799999,9.0857513
292,2012-08-25T12:03:00,3.79,3.484062
293,2012-08-26T00:03:00,3.525,2.5288484
294,2012-08-26T12:03:00,4.7399998,3.1888219
295,2012-08-27T00:03:00,1.155,1.117203
296,2012-08-27T12:03:00,1.125,1.0393056
297,2012-08-28T00:03:00,1.165,1.0642813
298,2012-08-28T12:03:00,1.31,1.0461313
299,2012-08-29T00:03:00,0.77499998,0.93945239
300,2012-08-29T12:03:00,1.035,1.0773953
301,2012-08-30T12:03:00,1.64,1.6556751
302,2012-08-31T00:03:00,2.45,1.9146806
303,2012-08-31T12:03:00,3.145,2.041727
304,2012-09-01T00:03:00,5.4449999,5.7560166
305,2012-09-01T12:03:00,4.54,2.6723526
306,2012-09-02T00:03:00,3.105,1.3998309
307,2012-09-02T12:03:00,8.2550001,6.7166691
308,2012-09-03T00:03:00,8.8499999,5.5202335
309,2012-09-04T00:03:00,19.92,14.810941
310,2012-09-04T12:03:00,5.78,4.4608263
311,2012-09-05T00:03:00,5.04,6.8342364
312,2012-09-05T12:03:00,7.24,3.6822008
313,2012-09-06T00:03:00,15.255,8.8775654
314,2012-09-06T12:03:00,1.185,0.87668282
315,2012-09-14T12:03:00,6.5600002,4.473211
316,2012-09-15T00:03:00,4.7600002,2.795949
317,2012-09-15T12:03:00,4.845,3.0674604
318,2012-09-16T00:03:00,3.2750001,1.9266592
319,2012-09-16T12:03:00,3.02,2.6592702
320,2012-09-17T00:03:00,5.0699999,3.3145958
321,2012-09-17T12:03:00,4.375,3.1515692
322,2012-09-18T00:03:00,5.1899998,4.5292891
323,2012-09-18T12:03:00,5.0350001,3.3474016
324,2012-09-19T00:03:00,7.8499999,3.9534009
325,2012-09-19T12:03:00,4.8700001,3.5392358
326,2012-09-20T00:03:00,12.64,7.5368087
327,2012-09-20T12:03:00,3.8,2.5892424
328,2012-09-21T00:03:00,1.46,1.6249655
329,2012-09-21T12:03:00,2.885,2.5619462
330,2012-09-22T00:03:00,3.1750001,2.5491528
331,2012-09-22T12:03:00,1.795,1.6674013
332,2012-09-23T00:03:00,1.955,1.8770321
333,2012-09-23T12:03:00,2.235,2.1334822
334,2012-09-24T00:03:00,3.01,2.3128827
335,2012-09-24T12:03:00,6.095,4.473617
336,2012-09-25T12:03:00,4.8499999,3.7015266
337,2012-09-26T00:03:00,7.2850001,5.1396406
338,2012-09-26T12:03:00,11.06,8.9173987
339,2012-09-27T00:03:00,4.55,3.8409835
340,2012-10-08T00:03:00,4.9750001,4.1223767
341,2012-10-08T12:03:00,17.190001,17.175064
342,2012-10-09T00:03:00,2.06,1.4823492
343,2012-10-09T12:03:00,5.4549999,4.7672884
344,2012-10-10T00:03:00,5.5550001,5.0300635
345,2012-10-10T12:03:00,3.12,2.1395085
346,2012-10-11T00:03:00,2.24,1.1537336
347,2012-10-11T12:03:00,3.0799999,2.4559698
348,2012-10-12T00:03:00,4.645,3.3572534
349,2012-10-12T12:03:00,6.145,2.9342075
350,2012-10-13T00:03:00,1.315,1.0577095
351,2012-10-13T12:03:00,7.4599998,8.6968076
352,2012-10-14T00:03:00,3.1600001,2.783015
353,2012-10-14T12:03:00,5.5550001,4.8831357
354,2012-10-15T00:03:00,2.9599999,2.4257933
355,2012-10-15T12:03:00,3.8499999,1.9275368
356,2012-10-16T00:03:00,4.4499998,3.4891721
357,2012-10-16T12:03:00,7.4350002,4.7816161
358,2012-10-17T00:03:00,2.7299999,1.6335752
359,2012-10-17T12:03:00,2.6850001,3.2506652
360,2012-10-18T00:03:00,2.4400001,2.7352888
361,2012-10-18T12:03:00,1.035,1.2703307
362,2012-10-19T00:03:00,0.88999999,1.2537543
363,2012-10-19T12:03:00,0.99499997,1.3208125
364,2012-10-20T00:03:00,1.71,1.3756619
365,2012-10-20T12:03:00,2.78,1.8212821
366,2012-10-21T00:03:00,2.46,1.8287241
367,2012-10-21T12:03:00,3.455,3.2345392
368,2012-10-22T00:03:00,3.0550001,2.7741471
369,2012-10-22T12:03:00,3.615,2.7805936
370,2012-10-23T00:03:00,7.4649999,6.4621501
371,2012-10-23T12:03:00,5.845,3.3836408
372,2012-10-24T00:03:00,5.4000001,2.974261
373,2012-10-24T12:03:00,3.625,2.6934856
374,2012-10-25T00:03:00,3.465,2.6983945
375,2012-10-25T12:03:00,5.325,2.7905273
376,2012-10-26T12:03:00,4.9150002,3.3754182
377,2012-10-27T00:03:00,3.9899999,3.2790122
378,2012-10-27T12:03:00,3.9250001,2.524189
379,2012-10-28T00:03:00,3.765,3.4105518
380,2012-10-28T12:03:00,3.105,2.5352949
381,2012-10-29T00:03:00,3.0999999,2.7472868
382,2012-10-29T12:03:00,4.5700002,3.5554047
383,2012-10-30T00:03:00,5.2149999,4.0700396
384,2012-10-30T12:03:00,8.5250001,6.3150303
385,2012-10-31T00:03:00,8.2750001,7.0141709
386,2012-10-31T12:03:00,9.1299996,6.5355729
387,2012-11-01T00:03:00,18.02,3.0672537
388,2012-11-01T12:03:00,1.66,0.87284759
389,2012-11-02T00:03:00,5.7650001,0.18613833
390,2012-11-02T12:03:00,2.165,0.17556943
391,2012-11-03T00:03:00,8.2149997,3.150961
392,2012-11-03T12:03:00,10.11,7.1111382
393,2012-11-04T00:03:00,5.9649999,4.2556589
394,2012-11-04T12:03:00,5.5599999,3.8868092
395,2012-11-05T12:03:00,4.915,4.4483761
396,2012-11-06T00:03:00,6.54,5.0607017
397,2012-11-06T12:03:00,6.405,6.2817316
398,2012-11-07T00:03:00,30.835,23.761944
399,2012-11-07T12:03:00,7.5450001,6.2826047
400,2012-11-08T00:03:00,3.255,2.6355173
401,2012-11-08T12:03:00,4.0250001,2.9869463
402,2012-11-09T00:03:00,3.495,2.9190013
403,2012-11-09T12:03:00,4.865,3.3144766
404,2012-11-10T00:03:00,4.2549999,3.4197198
405,2012-11-10T12:03:00,5.3150001,3.6592023
406,2012-11-11T00:03:00,10.43,6.3162278
407,2012-11-11T12:03:00,11.625,8.5894783
408,2012-11-12T00:03:00,6.3,4.226295
409,2012-11-12T12:03:00,6.0899999,5.0157324
410,2012-11-13T00:03:00,42.1,19.760825
411,2012-11-13T12:03:00,3.23,2.2702428
412,2012-11-14T00:03:00,6.53,1.9737034
413,2012-11-14T12:03:00,6.96,6.4040693
414,2012-11-15T00:03:00,1.165,1.2639133
415,2012-11-15T12:03:00,1.76,1.498786
416,2012-11-16T00:03:00,1.945,1.5977646
417,2012-11-16T12:03:00,1.2600001,1.013146
418,2012-11-17T00:03:00,2.825,1.3566999
419,2012-11-17T12:03:00,13.34,4.6607628
420,2012-11-18T00:03:00,5.1100001,2.9143712
421,2012-11-18T12:03:00,2.1800001,2.1783413
422,2012-11-19T00:03:00,3.895,3.5705757
423,2012-11-19T12:03:00,3.475,2.9541113
424,2012-11-20T00:03:00,2.95,2.7177479
425,2012-11-20T12:03:00,3.895,3.3875262
426,2012-11-21T00:03:00,2.755,2.3383644
427,2012-11-21T12:03:00,2.3900001,1.9212422
428,2012-11-22T00:03:00,1.895,1.3865159
429,2012-11-22T12:03:00,1.865,1.2296403
430,2012-11-23T00:03:00,3.045,1.819786
431,2012-11-23T12:03:00,3.505,2.3740714
432,2012-11-24T00:03:00,15.97,15.402727
433,2012-11-24T12:03:00,4.6600001,13.376828
434,2012-11-25T00:03:00,4.2249999,3.4733239
435,2012-11-25T12:03:00,6.6199999,6.2375059
436,2012-11-26T00:03:00,3.1600001,2.5604474
437,2012-11-26T12:03:00,5.6849999,4.1643771
438,2012-11-27T12:03:00,2.1999999,1.7180924
439,2012-11-28T00:03:00,1.52,1.4720151
440,2012-11-28T12:03:00,1.635,1.4143606
441,2012-11-29T00:03:00,2.7199999,1.7110892
442,2012-11-29T12:03:00,2.9000001,2.03956
443,2012-11-30T00:03:00,3.485,2.1917988
444,2012-11-30T12:03:00,8.9250002,4.1083217
445,2012-12-01T00:03:00,6.99,4.121356
446,2012-12-02T00:03:00,10.125,5.4633398
447,2012-12-02T12:03:00,11.43,2.6784319
448,2012-12-03T00:03:00,7.1700001,6.3957344
449,2012-12-03T12:03:00,8.4199996,6.8766826
450,2012-12-04T00:03:00,9.3399997,4.9036926
451,2012-12-04T12:03:00,3.5700001,2.2257552
452,2012-12-05T00:03:00,2.86,1.2514021
453,2012-12-05T12:03:00,2.6,1.7118099
454,2012-12-06T00:03:00,3.61,2.5925117
455,2012-12-06T12:03:00,3.76,2.7758049
456,2012-12-07T00:03:00,3.465,2.3770819
457,2012-12-07T12:03:00,4.885,3.0105557
458,2012-12-08T00:03:00,7.7800002,5.0738219
459,2012-12-08T12:03:00,10.74,7.2973733
460,2012-12-09T00:03:00,17.78,12.170299
